Quarter,Postal code,Building type,Price per square meter (EUR/m2)
2010Q1,00100 Helsinki Keskusta - Etu-Töölö   (Helsinki ),"Blocks of flats, one-room flat",5458
2010Q1,00100 Helsinki Keskusta - Etu-Töölö   (Helsinki ),"Blocks of flats, two-room flat",5164
2010Q1,00100 Helsinki Keskusta - Etu-Töölö   (Helsinki ),"Blocks of flats, three-room flat+",4944
2010Q1,00120 Punavuori   (Helsinki ),"Blocks of flats, one-room flat",5515
2010Q1,00120 Punavuori   (Helsinki ),"Blocks of flats, two-room flat",5349
2010Q1,00120 Punavuori   (Helsinki ),"Blocks of flats, three-room flat+",6236
2010Q1,00130 Kaartinkaupunki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00130 Kaartinkaupunki   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00130 Kaartinkaupunki   (Helsinki ),"Blocks of flats, three-room flat+",5145
2010Q1,00140 Kaivopuisto - Ullanlinna   (Helsinki ),"Blocks of flats, one-room flat",5525
2010Q1,00140 Kaivopuisto - Ullanlinna   (Helsinki ),"Blocks of flats, two-room flat",5466
2010Q1,00140 Kaivopuisto - Ullanlinna   (Helsinki ),"Blocks of flats, three-room flat+",6297
2010Q1,00150 Eira - Hernesaari   (Helsinki ),"Blocks of flats, one-room flat",5549
2010Q1,00150 Eira - Hernesaari   (Helsinki ),"Blocks of flats, two-room flat",4822
2010Q1,00150 Eira - Hernesaari   (Helsinki ),"Blocks of flats, three-room flat+",5972
2010Q1,00160 Katajanokka   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00160 Katajanokka   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00160 Katajanokka   (Helsinki ),"Blocks of flats, three-room flat+",5281
2010Q1,00170 Kruununhaka   (Helsinki ),"Blocks of flats, one-room flat",5462
2010Q1,00170 Kruununhaka   (Helsinki ),"Blocks of flats, two-room flat",4957
2010Q1,00170 Kruununhaka   (Helsinki ),"Blocks of flats, three-room flat+",5161
2010Q1,00180 Kamppi - Ruoholahti   (Helsinki ),"Blocks of flats, one-room flat",5155
2010Q1,00180 Kamppi - Ruoholahti   (Helsinki ),"Blocks of flats, two-room flat",4991
2010Q1,00180 Kamppi - Ruoholahti   (Helsinki ),"Blocks of flats, three-room flat+",4292
2010Q1,00190 Suomenlinna   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00190 Suomenlinna   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00190 Suomenlinna   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00200 Lauttasaari   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00200 Lauttasaari   (Helsinki ),"Blocks of flats, two-room flat",3910
2010Q1,00200 Lauttasaari   (Helsinki ),"Blocks of flats, three-room flat+",3971
2010Q1,00210 Vattuniemi   (Helsinki ),"Blocks of flats, one-room flat",4703
2010Q1,00210 Vattuniemi   (Helsinki ),"Blocks of flats, two-room flat",4198
2010Q1,00210 Vattuniemi   (Helsinki ),"Blocks of flats, three-room flat+",4349
2010Q1,00220 Jätkäsaari   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00220 Jätkäsaari   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00220 Jätkäsaari   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00240 Länsi-Pasila   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00240 Länsi-Pasila   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00240 Länsi-Pasila   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00250 Taka-Töölö   (Helsinki ),"Blocks of flats, one-room flat",5084
2010Q1,00250 Taka-Töölö   (Helsinki ),"Blocks of flats, two-room flat",4464
2010Q1,00250 Taka-Töölö   (Helsinki ),"Blocks of flats, three-room flat+",4274
2010Q1,00260 Keski-Töölö   (Helsinki ),"Blocks of flats, one-room flat",4795
2010Q1,00260 Keski-Töölö   (Helsinki ),"Blocks of flats, two-room flat",4714
2010Q1,00260 Keski-Töölö   (Helsinki ),"Blocks of flats, three-room flat+",5088
2010Q1,00270 Pohjois-Meilahti   (Helsinki ),"Blocks of flats, one-room flat",5008
2010Q1,00270 Pohjois-Meilahti   (Helsinki ),"Blocks of flats, two-room flat",4415
2010Q1,00270 Pohjois-Meilahti   (Helsinki ),"Blocks of flats, three-room flat+",4100
2010Q1,00280 Ruskeasuo   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00280 Ruskeasuo   (Helsinki ),"Blocks of flats, two-room flat",..
