,city,date_count,postal_code,room,price
0,Helsinki ,1,100,1,5458
1,Helsinki ,1,100,2,5164
2,Helsinki ,1,100,3,4944
3,Helsinki ,1,120,1,5515
4,Helsinki ,1,120,2,5349
5,Helsinki ,1,120,3,6236
6,Helsinki ,1,130,3,5145
7,Helsinki ,1,140,1,5525
8,Helsinki ,1,140,2,5466
9,Helsinki ,1,140,3,6297
10,Helsinki ,1,150,1,5549
11,Helsinki ,1,150,2,4822
12,Helsinki ,1,150,3,5972
13,Helsinki ,1,160,3,5281
14,Helsinki ,1,170,1,5462
15,Helsinki ,1,170,2,4957
16,Helsinki ,1,170,3,5161
17,Helsinki ,1,180,1,5155
18,Helsinki ,1,180,2,4991
19,Helsinki ,1,180,3,4292
20,Helsinki ,1,200,2,3910
21,Helsinki ,1,200,3,3971
22,Helsinki ,1,210,1,4703
23,Helsinki ,1,210,2,4198
24,Helsinki ,1,210,3,4349
25,Helsinki ,1,250,1,5084
26,Helsinki ,1,250,2,4464
27,Helsinki ,1,250,3,4274
28,Helsinki ,1,260,1,4795
29,Helsinki ,1,260,2,4714
30,Helsinki ,1,260,3,5088
31,Helsinki ,1,270,1,5008
32,Helsinki ,1,270,2,4415
33,Helsinki ,1,270,3,4100
34,Helsinki ,1,300,2,3844
35,Helsinki ,1,320,2,3346
36,Helsinki ,1,320,3,3255
37,Helsinki ,1,330,3,4141
38,Helsinki ,1,350,2,3303
39,Helsinki ,1,350,3,3186
40,Helsinki ,1,360,2,2558
41,Helsinki ,1,370,2,3018
42,Helsinki ,1,380,2,3977
43,Helsinki ,1,390,2,2615
44,Helsinki ,1,400,1,3769
45,Helsinki ,1,400,2,2998
46,Helsinki ,1,400,3,2810
47,Helsinki ,1,410,2,2486
48,Helsinki ,1,420,2,2829
49,Helsinki ,1,420,3,2435
50,Helsinki ,1,440,3,2783
51,Helsinki ,1,500,2,3844
52,Helsinki ,1,510,2,3758
53,Helsinki ,1,520,1,4095
54,Helsinki ,1,520,2,3231
55,Helsinki ,1,520,3,3004
56,Helsinki ,1,530,1,4246
57,Helsinki ,1,530,2,3979
58,Helsinki ,1,530,3,3740
59,Helsinki ,1,550,1,3878
60,Helsinki ,1,550,2,3523
61,Helsinki ,1,560,2,4433
62,Helsinki ,1,560,3,4157
63,Helsinki ,1,570,3,3424
64,Helsinki ,1,610,2,3797
65,Helsinki ,1,610,3,3338
66,Helsinki ,1,630,2,2558
67,Helsinki ,1,630,3,2424
68,Helsinki ,1,640,2,2803
69,Helsinki ,1,640,3,2527
70,Helsinki ,1,700,2,2733
71,Helsinki ,1,700,3,2448
72,Helsinki ,1,710,2,2338
73,Helsinki ,1,710,3,2583
74,Helsinki ,1,720,2,2517
75,Helsinki ,1,720,3,2511
76,Helsinki ,1,730,2,3180
77,Helsinki ,1,740,3,2164
78,Helsinki ,1,750,3,2028
79,Helsinki ,1,780,2,2882
80,Helsinki ,1,790,2,3780
81,Helsinki ,1,790,3,3248
82,Helsinki ,1,800,2,2838
83,Helsinki ,1,810,3,3215
84,Helsinki ,1,820,1,3123
85,Helsinki ,1,820,2,2697
86,Helsinki ,1,820,3,2403
87,Helsinki ,1,840,1,3596
88,Helsinki ,1,840,2,2582
89,Helsinki ,1,840,3,2572
90,Helsinki ,1,900,3,2125
91,Helsinki ,1,910,1,3422
92,Helsinki ,1,910,2,2498
93,Helsinki ,1,910,3,2405
94,Helsinki ,1,920,2,2323
95,Helsinki ,1,920,3,2012
96,Helsinki ,1,940,1,2917
97,Helsinki ,1,940,2,2344
98,Helsinki ,1,940,3,2078
99,Helsinki ,1,960,2,2056
100,Helsinki ,1,970,2,2390
101,Helsinki ,1,970,3,2054
102,Helsinki ,1,980,3,2646
103,Helsinki ,1,990,2,3755
104,Helsinki ,1,990,3,3855
105,Vantaa ,1,1200,1,2679
106,Vantaa ,1,1200,2,2037
107,Vantaa ,1,1200,3,1783
108,Vantaa ,1,1280,3,1789
109,Vantaa ,1,1300,1,3119
110,Vantaa ,1,1300,2,2539
111,Vantaa ,1,1300,3,2582
112,Vantaa ,1,1350,3,1987
113,Vantaa ,1,1360,1,2434
114,Vantaa ,1,1360,2,2155
115,Vantaa ,1,1360,3,1737
116,Vantaa ,1,1450,1,2463
117,Vantaa ,1,1450,2,1775
118,Vantaa ,1,1450,3,1659
119,Vantaa ,1,1480,3,1490
120,Vantaa ,1,1510,3,2968
121,Vantaa ,1,1520,3,3124
122,Vantaa ,1,1600,2,2383
123,Vantaa ,1,1600,3,2232
124,Vantaa ,1,1610,2,2403
125,Vantaa ,1,1610,3,2042
126,Vantaa ,1,1620,1,2766
127,Vantaa ,1,1620,2,2318
128,Vantaa ,1,1620,3,1938
129,Vantaa ,1,1650,1,2494
130,Vantaa ,1,1650,2,2003
131,Vantaa ,1,1710,3,2141
132,Espoo ,1,2100,1,4137
133,Espoo ,1,2100,2,3830
134,Espoo ,1,2100,3,3125
135,Espoo ,1,2110,2,3387
136,Espoo ,1,2110,3,3331
137,Espoo ,1,2120,2,3213
138,Espoo ,1,2130,3,3005
139,Espoo ,1,2170,2,3544
140,Espoo ,1,2170,3,3139
141,Espoo ,1,2200,3,3475
142,Espoo ,1,2210,1,3352
143,Espoo ,1,2210,2,2734
144,Espoo ,1,2210,3,2480
145,Espoo ,1,2230,3,2548
146,Espoo ,1,2320,1,3062
147,Espoo ,1,2320,2,3136
148,Espoo ,1,2320,3,2248
149,Espoo ,1,2360,3,2142
150,Espoo ,1,2600,2,3433
151,Espoo ,1,2600,3,3438
152,Espoo ,1,2610,2,3486
153,Espoo ,1,2620,2,2183
154,Espoo ,1,2620,3,2326
155,Espoo ,1,2650,2,3218
156,Espoo ,1,2650,3,2751
157,Espoo ,1,2710,2,2543
158,Espoo ,1,2710,3,2418
159,Espoo ,1,2760,1,2536
160,Espoo ,1,2760,2,2512
161,Espoo ,1,2760,3,2213
162,Helsinki ,2,100,1,5347
163,Helsinki ,2,100,2,5021
164,Helsinki ,2,100,3,5396
165,Helsinki ,2,120,1,5646
166,Helsinki ,2,120,2,5355
167,Helsinki ,2,120,3,5713
168,Helsinki ,2,140,1,5937
169,Helsinki ,2,140,2,5590
170,Helsinki ,2,140,3,6444
171,Helsinki ,2,150,1,5475
172,Helsinki ,2,150,2,5228
173,Helsinki ,2,150,3,5894
174,Helsinki ,2,160,3,5073
175,Helsinki ,2,170,1,5852
176,Helsinki ,2,170,2,5165
177,Helsinki ,2,170,3,5259
178,Helsinki ,2,180,2,5049
179,Helsinki ,2,180,3,4882
180,Helsinki ,2,200,2,4075
181,Helsinki ,2,200,3,4079
182,Helsinki ,2,210,3,4727
183,Helsinki ,2,250,1,4885
184,Helsinki ,2,250,2,4667
185,Helsinki ,2,250,3,4768
186,Helsinki ,2,260,3,5366
187,Helsinki ,2,270,1,4896
188,Helsinki ,2,270,2,4312
189,Helsinki ,2,270,3,4277
190,Helsinki ,2,280,3,3906
191,Helsinki ,2,320,2,3425
192,Helsinki ,2,320,3,3295
193,Helsinki ,2,330,2,4344
194,Helsinki ,2,330,3,4379
195,Helsinki ,2,350,1,4135
196,Helsinki ,2,350,2,3336
197,Helsinki ,2,350,3,3580
198,Helsinki ,2,360,2,2757
199,Helsinki ,2,370,2,2942
200,Helsinki ,2,390,2,2634
201,Helsinki ,2,390,3,2330
202,Helsinki ,2,400,1,3797
203,Helsinki ,2,400,2,2980
204,Helsinki ,2,400,3,2789
205,Helsinki ,2,410,3,2432
206,Helsinki ,2,420,2,2684
207,Helsinki ,2,420,3,2290
208,Helsinki ,2,440,2,3105
209,Helsinki ,2,440,3,2541
210,Helsinki ,2,500,1,4263
211,Helsinki ,2,500,2,3807
212,Helsinki ,2,500,3,3742
213,Helsinki ,2,510,1,4335
214,Helsinki ,2,510,2,3697
215,Helsinki ,2,510,3,3379
216,Helsinki ,2,520,1,3932
217,Helsinki ,2,520,2,3745
218,Helsinki ,2,520,3,3400
219,Helsinki ,2,530,1,4375
220,Helsinki ,2,530,2,4090
221,Helsinki ,2,530,3,3946
222,Helsinki ,2,550,2,3472
223,Helsinki ,2,550,3,3124
224,Helsinki ,2,560,2,4026
225,Helsinki ,2,560,3,3971
226,Helsinki ,2,610,2,3463
227,Helsinki ,2,610,3,3541
228,Helsinki ,2,620,2,2886
229,Helsinki ,2,630,3,2437
230,Helsinki ,2,640,1,3102
231,Helsinki ,2,640,2,2903
232,Helsinki ,2,640,3,2773
233,Helsinki ,2,700,2,2916
234,Helsinki ,2,700,3,2710
235,Helsinki ,2,710,2,2506
236,Helsinki ,2,710,3,2328
237,Helsinki ,2,720,2,2695
238,Helsinki ,2,720,3,2331
239,Helsinki ,2,740,2,2332
240,Helsinki ,2,750,3,2034
241,Helsinki ,2,770,2,2072
242,Helsinki ,2,790,3,3240
243,Helsinki ,2,800,2,3402
244,Helsinki ,2,800,3,3119
245,Helsinki ,2,810,2,3356
246,Helsinki ,2,810,3,3467
247,Helsinki ,2,820,1,3239
248,Helsinki ,2,820,2,2531
249,Helsinki ,2,820,3,2395
250,Helsinki ,2,840,1,3534
251,Helsinki ,2,840,2,2668
252,Helsinki ,2,840,3,2616
253,Helsinki ,2,900,3,2149
254,Helsinki ,2,910,1,3271
255,Helsinki ,2,910,2,2475
256,Helsinki ,2,910,3,2541
257,Helsinki ,2,920,2,2398
258,Helsinki ,2,920,3,1973
259,Helsinki ,2,940,1,3142
260,Helsinki ,2,940,2,2223
261,Helsinki ,2,940,3,2027
262,Helsinki ,2,960,3,2344
263,Helsinki ,2,970,1,3006
264,Helsinki ,2,970,2,2484
265,Helsinki ,2,970,3,2116
266,Helsinki ,2,980,1,2877
267,Helsinki ,2,980,2,2718
268,Helsinki ,2,980,3,3017
269,Helsinki ,2,990,2,4079
270,Helsinki ,2,990,3,3793
271,Vantaa ,2,1200,3,1852
272,Vantaa ,2,1280,3,1834
273,Vantaa ,2,1300,1,3215
274,Vantaa ,2,1300,2,2573
275,Vantaa ,2,1300,3,2477
276,Vantaa ,2,1350,3,1843
277,Vantaa ,2,1360,1,2590
278,Vantaa ,2,1360,2,2160
279,Vantaa ,2,1360,3,1753
280,Vantaa ,2,1370,2,2512
281,Vantaa ,2,1450,1,2040
282,Vantaa ,2,1450,2,2225
283,Vantaa ,2,1450,3,1928
284,Vantaa ,2,1480,3,1915
285,Vantaa ,2,1510,3,3097
286,Vantaa ,2,1520,2,3448
287,Vantaa ,2,1520,3,3201
288,Vantaa ,2,1600,2,2486
289,Vantaa ,2,1600,3,2130
290,Vantaa ,2,1610,1,2874
291,Vantaa ,2,1610,2,2341
292,Vantaa ,2,1610,3,2287
293,Vantaa ,2,1620,3,1964
294,Vantaa ,2,1650,2,2016
295,Vantaa ,2,1650,3,1817
296,Vantaa ,2,1710,2,2659
297,Vantaa ,2,1710,3,2345
298,Vantaa ,2,1730,3,1675
299,Espoo ,2,2100,2,4032
300,Espoo ,2,2100,3,3468
301,Espoo ,2,2110,3,3642
302,Espoo ,2,2120,2,3485
303,Espoo ,2,2120,3,3354
304,Espoo ,2,2160,3,3874
305,Espoo ,2,2170,1,3745
306,Espoo ,2,2170,2,3493
307,Espoo ,2,2170,3,3619
308,Espoo ,2,2200,3,3147
309,Espoo ,2,2210,3,2431
310,Espoo ,2,2230,1,3416
311,Espoo ,2,2230,2,3131
312,Espoo ,2,2230,3,2890
313,Espoo ,2,2260,3,1920
314,Espoo ,2,2320,1,3024
315,Espoo ,2,2320,2,2911
316,Espoo ,2,2320,3,2377
317,Espoo ,2,2360,3,1965
318,Espoo ,2,2600,2,3377
319,Espoo ,2,2600,3,2955
320,Espoo ,2,2620,2,2562
321,Espoo ,2,2650,2,2885
322,Espoo ,2,2650,3,2782
323,Kauniainen ,2,2700,2,3330
