Quarter,Postal code,One-room flat,Two-room flat,Three-room flat+,Terraced houses
2010Q1,00100 Helsinki Keskusta - Etu-Töölö   (Helsinki ),5458,5164,4944,..
2010Q1,00120 Punavuori   (Helsinki ),5515,5349,6236,..
2010Q1,00130 Kaartinkaupunki   (Helsinki ),..,..,5145,..
2010Q1,00140 Kaivopuisto - Ullanlinna   (Helsinki ),5525,5466,6297,..
2010Q1,00150 Eira - Hernesaari   (Helsinki ),5549,4822,5972,..
2010Q1,00160 Katajanokka   (Helsinki ),..,..,5281,..
2010Q1,00170 Kruununhaka   (Helsinki ),5462,4957,5161,..
2010Q1,00180 Kamppi - Ruoholahti   (Helsinki ),5155,4991,4292,..
2010Q1,00190 Suomenlinna   (Helsinki ),..,..,..,..
2010Q1,00200 Lauttasaari   (Helsinki ),..,3910,3971,..
2010Q1,00210 Vattuniemi   (Helsinki ),4703,4198,4349,..
2010Q1,00220 Jätkäsaari   (Helsinki ),..,..,..,..
2010Q1,00240 Länsi-Pasila   (Helsinki ),..,..,..,..
2010Q1,00250 Taka-Töölö   (Helsinki ),5084,4464,4274,..
2010Q1,00260 Keski-Töölö   (Helsinki ),4795,4714,5088,..
2010Q1,00270 Pohjois-Meilahti   (Helsinki ),5008,4415,4100,..
2010Q1,00280 Ruskeasuo   (Helsinki ),..,..,..,..
2010Q1,00290 Meilahden sairaala-alue   (Helsinki ),..,..,..,..
2010Q1,00300 Pikku Huopalahti   (Helsinki ),..,3844,..,..
2010Q1,00310 Kivihaka   (Helsinki ),..,..,..,..
2010Q1,00320 Etelä-Haaga   (Helsinki ),..,3346,3255,..
2010Q1,00330 Munkkiniemi   (Helsinki ),..,..,4141,..
2010Q1,00340 Kuusisaari-Lehtisaari   (Helsinki ),..,..,..,..
2010Q1,00350 Munkkivuori-Niemenmäki   (Helsinki ),..,3303,3186,..
2010Q1,00360 Pajamäki   (Helsinki ),..,2558,..,..
2010Q1,00370 Reimarla   (Helsinki ),..,3018,..,..
2010Q1,00380 Pitäjänmäen teollisuusalue   (Helsinki ),..,3977,..,..
2010Q1,00390 Konala   (Helsinki ),..,2615,..,..
2010Q1,00400 Pohjois-Haaga   (Helsinki ),3769,2998,2810,..
2010Q1,00410 Malminkartano   (Helsinki ),..,2486,..,..
2010Q1,00420 Kannelmäki   (Helsinki ),..,2829,2435,..
2010Q1,00430 Maununneva   (Helsinki ),..,..,..,..
2010Q1,00440 Lassila   (Helsinki ),..,..,2783,..
2010Q1,00500 Sörnäinen   (Helsinki ),..,3844,..,..
2010Q1,00510 Etu-Vallila - Alppila   (Helsinki ),..,3758,..,..
2010Q1,00520 Itä-Pasila   (Helsinki ),4095,3231,3004,..
2010Q1,00530 Kallio   (Helsinki ),4246,3979,3740,..
2010Q1,00540 Kalasatama   (Helsinki ),..,..,..,..
2010Q1,00550 Vallila   (Helsinki ),3878,3523,..,..
2010Q1,00560 Toukola-Vanhakaupunki   (Helsinki ),..,4433,4157,..
2010Q1,00570 Kulosaari   (Helsinki ),..,..,3424,..
2010Q1,00580 Verkkosaari   (Helsinki ),..,..,..,..
2010Q1,00590 Kaitalahti   (Helsinki ),..,..,..,..
2010Q1,00600 Koskela-Helsinki   (Helsinki ),..,..,..,..
2010Q1,00610 Käpylä   (Helsinki ),..,3797,3338,..
2010Q1,00620 Metsälä-Etelä-Oulunkylä   (Helsinki ),..,..,..,..
2010Q1,00630 Maunula-Suursuo   (Helsinki ),..,2558,2424,..
2010Q1,00640 Oulunkylä-Patola   (Helsinki ),..,2803,2527,..
2010Q1,00650 Veräjämäki   (Helsinki ),..,..,..,..
2010Q1,00660 Länsi-Pakila   (Helsinki ),..,..,..,..
2010Q1,00670 Paloheinä   (Helsinki ),..,..,..,..
2010Q1,00680 Itä-Pakila   (Helsinki ),..,..,..,..
2010Q1,00690 Tuomarinkylä-Torpparinmäki   (Helsinki ),..,..,..,..
2010Q1,00700 Malmi   (Helsinki ),..,2733,2448,..
2010Q1,00710 Pihlajamäki   (Helsinki ),..,2338,2583,..
2010Q1,00720 Pukinmäki-Savela   (Helsinki ),..,2517,2511,..
2010Q1,00730 Tapanila   (Helsinki ),..,3180,..,2995
2010Q1,00740 Siltamäki   (Helsinki ),..,..,2164,2647
2010Q1,00750 Puistola   (Helsinki ),..,..,2028,2688
2010Q1,00760 Suurmetsä   (Helsinki ),..,..,..,..
2010Q1,00770 Jakomäki - Alppikylä   (Helsinki ),..,..,..,..
